Measure #0 from set 1 [2 --> 1], RSSI = -36
Measure #0 from set 1 [1 --> 2], RSSI = -32
Measure #1 from set 1 [2 --> 1], RSSI = -36
Measure #1 from set 1 [1 --> 2], RSSI = -32
Measure #2 from set 1 [2 --> 1], RSSI = -36
Measure #2 from set 1 [1 --> 2], RSSI = -31
Measure #3 from set 1 [2 --> 1], RSSI = -36
Measure #3 from set 1 [1 --> 2], RSSI = -31
Measure #4 from set 1 [2 --> 1], RSSI = -37
Measure #4 from set 1 [1 --> 2], RSSI = -33
Measure #5 from set 1 [2 --> 1], RSSI = -39
Measure #5 from set 1 [1 --> 2], RSSI = -37
Measure #6 from set 1 [2 --> 1], RSSI = -39
Measure #6 from set 1 [1 --> 2], RSSI = -37
Measure #7 from set 1 [2 --> 1], RSSI = -41
Measure #7 from set 1 [1 --> 2], RSSI = -39
Measure #8 from set 1 [2 --> 1], RSSI = -40
Measure #8 from set 1 [1 --> 2], RSSI = -39
Measure #9 from set 1 [2 --> 1], RSSI = -38
Measure #9 from set 1 [1 --> 2], RSSI = -39
Measure #10 from set 1 [2 --> 1], RSSI = -39
Measure #10 from set 1 [1 --> 2], RSSI = -37
Measure #11 from set 1 [2 --> 1], RSSI = -43
Measure #11 from set 1 [1 --> 2], RSSI = -39
Measure #12 from set 1 [2 --> 1], RSSI = -38
Measure #12 from set 1 [1 --> 2], RSSI = -35
Measure #13 from set 1 [2 --> 1], RSSI = -38
Measure #13 from set 1 [1 --> 2], RSSI = -35
Measure #14 from set 1 [2 --> 1], RSSI = -38
Measure #14 from set 1 [1 --> 2], RSSI = -33
Measure #15 from set 1 [2 --> 1], RSSI = -37
Measure #15 from set 1 [1 --> 2], RSSI = -32
Measure #16 from set 1 [2 --> 1], RSSI = -37
Measure #16 from set 1 [1 --> 2], RSSI = -36
Measure #17 from set 1 [2 --> 1], RSSI = -37
Measure #17 from set 1 [1 --> 2], RSSI = -37
Measure #18 from set 1 [2 --> 1], RSSI = -38
Measure #18 from set 1 [1 --> 2], RSSI = -36
Measure #19 from set 1 [2 --> 1], RSSI = -37
Measure #19 from set 1 [1 --> 2], RSSI = -33
Measure #20 from set 1 [2 --> 1], RSSI = -37
Measure #20 from set 1 [1 --> 2], RSSI = -33
Measure #21 from set 1 [2 --> 1], RSSI = -37
Measure #21 from set 1 [1 --> 2], RSSI = -33
Measure #22 from set 1 [2 --> 1], RSSI = -39
Measure #22 from set 1 [1 --> 2], RSSI = -35
Measure #23 from set 1 [2 --> 1], RSSI = -37
Measure #23 from set 1 [1 --> 2], RSSI = -36
Measure #24 from set 1 [2 --> 1], RSSI = -38
Measure #24 from set 1 [1 --> 2], RSSI = -33
Measure #25 from set 1 [2 --> 1], RSSI = -37
Measure #25 from set 1 [1 --> 2], RSSI = -32
Measure #26 from set 1 [2 --> 1], RSSI = -37
Measure #26 from set 1 [1 --> 2], RSSI = -33
