Measure #0 from set 10 [2 --> 1], RSSI = -73
Measure #0 from set 10 [1 --> 2], RSSI = -66
Measure #1 from set 10 [2 --> 1], RSSI = -72
Measure #1 from set 10 [1 --> 2], RSSI = -70
Measure #2 from set 10 [2 --> 1], RSSI = -78
Measure #2 from set 10 [1 --> 2], RSSI = -74
Measure #3 from set 10 [2 --> 1], RSSI = -74
Measure #3 from set 10 [1 --> 2], RSSI = -71
Measure #4 from set 10 [2 --> 1], RSSI = -79
Measure #4 from set 10 [1 --> 2], RSSI = -72
Measure #5 from set 10 [2 --> 1], RSSI = -72
Measure #5 from set 10 [1 --> 2], RSSI = -65
Measure #6 from set 10 [2 --> 1], RSSI = -70
Measure #6 from set 10 [1 --> 2], RSSI = -74
Measure #7 from set 10 [1 --> 2], RSSI = -79
Measure #7 from set 10 [2 --> 1], RSSI = -84
Measure #8 from set 10 [2 --> 1], RSSI = -88
Measure #8 from set 10 [1 --> 2], RSSI = -83
Measure #9 from set 10 [2 --> 1], RSSI = -78
Measure #9 from set 10 [1 --> 2], RSSI = -80
Measure #10 from set 10 [2 --> 1], RSSI = -88
Measure #10 from set 10 [1 --> 2], RSSI = -78
Measure #11 from set 10 [2 --> 1], RSSI = -84
Measure #12 from set 10 [2 --> 1], RSSI = -80
Measure #13 from set 10 [2 --> 1], RSSI = -78
Measure #11 from set 10 [1 --> 2], RSSI = -70
Measure #14 from set 10 [2 --> 1], RSSI = -71
Measure #12 from set 10 [1 --> 2], RSSI = -76
Measure #15 from set 10 [2 --> 1], RSSI = -79
Measure #13 from set 10 [1 --> 2], RSSI = -68
Measure #16 from set 10 [2 --> 1], RSSI = -71
Measure #14 from set 10 [1 --> 2], RSSI = -71
Measure #17 from set 10 [2 --> 1], RSSI = -75
Measure #15 from set 10 [1 --> 2], RSSI = -73
Measure #18 from set 10 [2 --> 1], RSSI = -76
Measure #16 from set 10 [1 --> 2], RSSI = -79
Measure #19 from set 10 [2 --> 1], RSSI = -88
Measure #17 from set 10 [1 --> 2], RSSI = -68
Measure #20 from set 10 [2 --> 1], RSSI = -73
Measure #18 from set 10 [1 --> 2], RSSI = -72
Measure #21 from set 10 [2 --> 1], RSSI = -73
Measure #19 from set 10 [1 --> 2], RSSI = -77
Measure #22 from set 10 [2 --> 1], RSSI = -78
Measure #23 from set 10 [2 --> 1], RSSI = -90
Measure #20 from set 10 [1 --> 2], RSSI = -77
Measure #24 from set 10 [2 --> 1], RSSI = -77
Measure #21 from set 10 [1 --> 2], RSSI = -82
Measure #25 from set 10 [2 --> 1], RSSI = -79
Measure #22 from set 10 [1 --> 2], RSSI = -81
Measure #26 from set 10 [2 --> 1], RSSI = -85
Measure #23 from set 10 [1 --> 2], RSSI = -79
Measure #27 from set 10 [2 --> 1], RSSI = -81
Measure #24 from set 10 [1 --> 2], RSSI = -81
Measure #28 from set 10 [2 --> 1], RSSI = -79
Measure #25 from set 10 [1 --> 2], RSSI = -81
Measure #26 from set 10 [1 --> 2], RSSI = -77
Measure #29 from set 10 [2 --> 1], RSSI = -80
Measure #27 from set 10 [1 --> 2], RSSI = -74
Measure #30 from set 10 [2 --> 1], RSSI = -66
Measure #28 from set 10 [1 --> 2], RSSI = -58
Measure #31 from set 10 [2 --> 1], RSSI = -61
Measure #29 from set 10 [1 --> 2], RSSI = -60
Measure #32 from set 10 [2 --> 1], RSSI = -66
Measure #30 from set 10 [1 --> 2], RSSI = -62
Measure #33 from set 10 [2 --> 1], RSSI = -63
Measure #31 from set 10 [1 --> 2], RSSI = -56
Measure #34 from set 10 [2 --> 1], RSSI = -60
Measure #32 from set 10 [1 --> 2], RSSI = -65
Measure #35 from set 10 [2 --> 1], RSSI = -66
Measure #33 from set 10 [1 --> 2], RSSI = -59
Measure #36 from set 10 [2 --> 1], RSSI = -64
Measure #34 from set 10 [1 --> 2], RSSI = -60
Measure #37 from set 10 [2 --> 1], RSSI = -62
Measure #35 from set 10 [1 --> 2], RSSI = -60
Measure #38 from set 10 [2 --> 1], RSSI = -63
Measure #36 from set 10 [1 --> 2], RSSI = -69
Measure #39 from set 10 [2 --> 1], RSSI = -64
Measure #37 from set 10 [1 --> 2], RSSI = -64
Measure #40 from set 10 [2 --> 1], RSSI = -66
Measure #38 from set 10 [1 --> 2], RSSI = -66
Measure #41 from set 10 [2 --> 1], RSSI = -66
Measure #39 from set 10 [1 --> 2], RSSI = -62
Measure #42 from set 10 [2 --> 1], RSSI = -64
Measure #40 from set 10 [1 --> 2], RSSI = -60
Measure #43 from set 10 [2 --> 1], RSSI = -65
Measure #41 from set 10 [1 --> 2], RSSI = -64
Measure #44 from set 10 [2 --> 1], RSSI = -64
Measure #42 from set 10 [1 --> 2], RSSI = -60
Measure #45 from set 10 [2 --> 1], RSSI = -63
Measure #43 from set 10 [1 --> 2], RSSI = -64
Measure #46 from set 10 [2 --> 1], RSSI = -68
Measure #44 from set 10 [1 --> 2], RSSI = -68
Measure #47 from set 10 [2 --> 1], RSSI = -68
Measure #45 from set 10 [1 --> 2], RSSI = -65
Measure #48 from set 10 [2 --> 1], RSSI = -66
Measure #46 from set 10 [1 --> 2], RSSI = -64
Measure #49 from set 10 [2 --> 1], RSSI = -67
Measure #47 from set 10 [1 --> 2], RSSI = -66
Measure #50 from set 10 [2 --> 1], RSSI = -68
Measure #48 from set 10 [1 --> 2], RSSI = -67
Measure #51 from set 10 [2 --> 1], RSSI = -70
Measure #49 from set 10 [1 --> 2], RSSI = -67
Measure #52 from set 10 [2 --> 1], RSSI = -72
Measure #50 from set 10 [1 --> 2], RSSI = -66
Measure #53 from set 10 [2 --> 1], RSSI = -70
Measure #51 from set 10 [1 --> 2], RSSI = -64
Measure #54 from set 10 [2 --> 1], RSSI = -66
Measure #52 from set 10 [1 --> 2], RSSI = -61
Measure #55 from set 10 [2 --> 1], RSSI = -64
Measure #53 from set 10 [1 --> 2], RSSI = -60
Measure #56 from set 10 [2 --> 1], RSSI = -63
Measure #54 from set 10 [1 --> 2], RSSI = -61
Measure #57 from set 10 [2 --> 1], RSSI = -65
Measure #55 from set 10 [1 --> 2], RSSI = -63
Measure #58 from set 10 [2 --> 1], RSSI = -66
Measure #56 from set 10 [1 --> 2], RSSI = -67
Measure #59 from set 10 [2 --> 1], RSSI = -72
Measure #57 from set 10 [1 --> 2], RSSI = -65
Measure #60 from set 10 [2 --> 1], RSSI = -67
Measure #58 from set 10 [1 --> 2], RSSI = -62
Measure #61 from set 10 [2 --> 1], RSSI = -66
Measure #59 from set 10 [1 --> 2], RSSI = -65
Measure #62 from set 10 [2 --> 1], RSSI = -69
Measure #60 from set 10 [1 --> 2], RSSI = -69
Measure #63 from set 10 [2 --> 1], RSSI = -71
Measure #61 from set 10 [1 --> 2], RSSI = -65
Measure #64 from set 10 [2 --> 1], RSSI = -70
Measure #62 from set 10 [1 --> 2], RSSI = -64
Measure #65 from set 10 [2 --> 1], RSSI = -64
Measure #63 from set 10 [1 --> 2], RSSI = -61
Measure #66 from set 10 [2 --> 1], RSSI = -66
Measure #64 from set 10 [1 --> 2], RSSI = -64
Measure #67 from set 10 [2 --> 1], RSSI = -67
Measure #65 from set 10 [1 --> 2], RSSI = -66
Measure #68 from set 10 [2 --> 1], RSSI = -69
Measure #66 from set 10 [1 --> 2], RSSI = -66
Measure #69 from set 10 [2 --> 1], RSSI = -70
Measure #67 from set 10 [1 --> 2], RSSI = -68
Measure #70 from set 10 [2 --> 1], RSSI = -70
Measure #68 from set 10 [1 --> 2], RSSI = -67
Measure #71 from set 10 [2 --> 1], RSSI = -68
Measure #69 from set 10 [1 --> 2], RSSI = -62
Measure #72 from set 10 [2 --> 1], RSSI = -64
Measure #70 from set 10 [1 --> 2], RSSI = -60
Measure #73 from set 10 [2 --> 1], RSSI = -62
Measure #71 from set 10 [1 --> 2], RSSI = -60
Measure #74 from set 10 [2 --> 1], RSSI = -62
Measure #72 from set 10 [1 --> 2], RSSI = -60
